raceId,raceDate,raceName,courseId,venue,venueKey,surface,distance,grade,raceNumber,raceSegment,isSpecialRace,isFinalRace,isJumpRace,fieldSize,horseId,externalHorseId,horseName,jockey,runningStyle,gateNumber,horseNumber,finishPosition,finishGroup,isWinner,isTop3,popularity,popularityBand,odds,resultOdds,seedRealOdds,isPopularTop3,isLongshotHit,simRank,simScore,simWinProbPct,simWinProb,fairOdds,edge,placeRank,valueRank,winProb,placeProb,placeOdds,placeScore,valueScore,top3Stability,marketSupport,overbetRisk,placeReturnEdge,longshotBonus,officialImplied,tanRoi,fukuRoi,overbetLabel,scoreGap,selectionScoreGap,valueGap,simGap,isSimHonmei,isTanpukuHonmei,isOpponentCandidate,isWideCandidate,isAnyCandidate,candidateRole
202606020311,2026-03-06,中山牝馬Ｓ 出馬表,nakayama-turf-1800-202606020311,中山,nakayama,Turf,1800,G3,11,special,true,false,false,16,12,2020103577,ポルカリズム,三浦,Sashi,6,12,9,4+,false,false,10,longshot,25.2,25.2,25.2,false,false,3,94.2,16.3,0.163,6.1,12.3,7,7,0.446,0.588,9.8,0.436,0.582,0.497,0.089,0,0.57,0.588,0.03968253968253968,1125,577.4,,0.161,,0.093,3,false,false,false,false,false,none
202606020311,2026-03-06,中山牝馬Ｓ 出馬表,nakayama-turf-1800-202606020311,中山,nakayama,Turf,1800,G3,11,special,true,false,false,16,13,2022103205,エリカエクスプレス,武豊,Sashi,7,13,4,4+,false,false,4,mid,5.5,5.5,5.5,false,false,8,68.2,2.3,0.023,43.5,-15.9,4,9,0.406,0.599,2.9,0.475,0.549,0.417,0.409,0,0.538,0.308,0.18181818181818182,223.4,175.3,,0.122,,0.126,29,false,false,false,false,false,none
202606020311,2026-03-06,中山牝馬Ｓ 出馬表,nakayama-turf-1800-202606020311,中山,nakayama,Turf,1800,G3,11,special,true,false,false,16,14,2021100244,ニシノティアモ,津村,Senko,7,14,5,4+,false,false,2,top3,4.8,4.8,4.8,false,false,2,98.1,16.7,0.16699999999999998,6,-4.1,2,5,0.493,0.691,2.7,0.582,0.623,0.66,0.469,0,0.609,0.3,0.20833333333333334,236.5,185.2,,0.015,0.015,0.052,-0.9,false,false,true,false,true,opponent
202606020311,2026-03-06,中山牝馬Ｓ 出馬表,nakayama-turf-1800-202606020311,中山,nakayama,Turf,1800,G3,11,special,true,false,false,16,15,2022102296,ケリフレッドアスク,佐々木,Sashi,8,15,8,4+,false,false,13,longshot,61.4,61.4,61.4,false,false,9,72.5,2.3,0.023,43.5,0.7,11,12,0.348,0.488,22.5,0.344,0.457,0.343,0.045,0,0.4,0.488,0.02,2138,1097.1,,0.253,,0.218,24.7,false,false,false,false,false,none
202606020311,2026-03-06,中山牝馬Ｓ 出馬表,nakayama-turf-1800-202606020311,中山,nakayama,Turf,1800,G3,11,special,true,false,false,16,16,2022105346,レーゼドラマ,丹内,Sashi,8,16,6,4+,false,false,7,longshot,17,17,17,false,false,11,54.9,2.2,0.022000000000000002,45.5,-3.7,10,8,0.327,0.481,7,0.353,0.574,0.345,0.132,0,0.775,0.381,0.058823529411764705,555.3,334.2,,0.244,,0.101,42.3,false,false,false,false,false,none
202609010511,2026-03-06,フィリーズレビュー 出馬表,hanshin-turf-1400-202609010511,阪神,hanshin,Turf,1400,G2,11,special,true,false,false,18,1,2023103247,フルールジェンヌ,永島,Sashi,1,1,6,4+,false,false,17,longshot,92.3,92.3,92.3,false,false,7,84.4,4.2,0.042,23.8,3.1,12,15,0.385,0.523,33.3,0.387,0.48,0.463,0.045,0,0.4,0.523,0.02,3551.3,1740.3,,0.172,,0.245,12,false,false,false,false,false,none
202609010511,2026-03-06,フィリーズレビュー 出馬表,hanshin-turf-1400-202609010511,阪神,hanshin,Turf,1400,G2,11,special,true,false,false,18,2,2023107187,ギリーズボール,西塚,Senko,1,2,1,1,true,true,10,longshot,24.5,24.5,24.5,false,true,13,64.1,2,0.02,50,-2.1,18,10,0.338,0.485,9.6,0.352,0.521,0.354,0.092,0,0.587,0.485,0.04081632653061224,828.1,464.8,,0.207,,0.204,32.3,false,false,false,false,false,none
202609010511,2026-03-06,フィリーズレビュー 出馬表,hanshin-turf-1400-202609010511,阪神,hanshin,Turf,1400,G2,11,special,true,false,false,18,3,2023103503,プレセピオ,富田,Nige,2,3,5,4+,false,false,7,longshot,16.4,16.4,16.4,false,false,12,84.6,2.1,0.021,47.6,-4,9,7,0.408,0.558,6.7,0.423,0.629,0.479,0.137,0,0.79,0.448,0.06097560975609757,668.3,376.4,,0.136,,0.096,11.8,false,false,false,false,false,none
202609010511,2026-03-06,フィリーズレビュー 出馬表,hanshin-turf-1400-202609010511,阪神,hanshin,Turf,1400,G2,11,special,true,false,false,18,4,2023105347,ショウナンカリス,池添,Sashi,2,4,8,4+,false,false,1,top3,5.3,5.3,5.3,false,false,1,96.4,19.6,0.196,5.1,0.7,1,3,0.491,0.683,2.9,0.559,0.643,0.598,0.425,0,0.678,0.305,0.18867924528301888,260.3,194.9,,0,0.01,0.082,0,true,true,false,false,true,honmei
202609010511,2026-03-06,フィリーズレビュー 出馬表,hanshin-turf-1400-202609010511,阪神,hanshin,Turf,1400,G2,11,special,true,false,false,18,5,2023104034,テイエムスティール,高杉,Senko,3,5,11,4+,false,false,3,top3,5.7,5.7,5.7,false,false,4,96.1,7.8,0.078,12.8,-9.7,2,4,0.475,0.663,3,0.549,0.642,0.626,0.395,0,0.704,0.312,0.17543859649122806,270.8,198.5,,0.01,0.01,0.083,0.3,false,false,true,false,true,opponent
